customerFK,recency,frequency,monetary_total,monetary_trend,churn,churn_probability,segment
359,281,3,303.0,0.9999999999900989,1,0.8014239751718542,2
340,260,3,285.0,0.9999999999894736,1,0.7987170775012234,2
218,136,4,620.0,0.9999999999935485,1,0.7924368581208341,0
466,585,4,180.0,0.9999999999777779,1,0.78639141763442,2
426,330,3,285.0,0.9999999999894736,1,0.7838186961506259,2
270,185,3,285.0,0.9999999999894736,1,0.7838186961506259,2
262,178,3,285.0,0.9999999999894736,1,0.7838186961506259,2
384,318,4,432.0,0.9999999999907407,1,0.7819559570933329,0
395,323,3,150.0,0.9999999999800001,1,0.7817045554525478,2
315,232,5,775.0,0.9999999999935485,1,0.7802164341007041,0
146,66,5,495.0,0.999999999989899,0,0.7789267045069279,0
186,117,4,400.0,0.99999999999,1,0.7749707097442556,2
283,204,2,204.0,0.9999999999901961,1,0.7708244360156017,1
130,49,3,288.0,0.9999999999895833,0,0.7639592196023847,2
176,100,3,288.0,0.9999999999895833,1,0.7639592196023847,2
174,99,4,160.0,0.9166666666437501,1,0.757310968352906,1
203,129,2,192.0,0.9999999999895833,1,0.7512524194136234,1
310,229,6,540.0,0.9999999999888889,1,0.7500232580660686,0
191,123,4,678.0,0.9026548672513118,1,0.7462307898301084,2
285,204,4,416.0,0.9999999999903846,1,0.7458177043874601,0
221,137,4,416.0,0.9999999999903846,1,0.7458177043874601,0
306,226,4,1088.0,0.8443627450949349,1,0.7424418533644167,0
178,101,4,740.0,0.9999999999945947,1,0.7414209532378356,0
456,493,2,110.0,0.9999999999818182,1,0.7405362243788949,3
169,94,6,600.0,0.99999999999,1,0.7378607339420191,0
276,196,4,440.0,0.999999999990909,1,0.73676117933099,0
296,217,4,640.0,0.9999999999937501,1,0.7317265284232469,0
366,301,4,600.0,0.9999999999933334,1,0.7278346558886998,0
223,137,6,435.0,1.310344827568133,1,0.7259102019328125,2
168,91,3,300.0,0.99999999999,1,0.7189623121720986,2
389,322,5,475.0,0.9999999999894736,1,0.7186818577256789,0
220,137,3,315.0,0.9999999999904762,1,0.714290436502922,2
333,253,3,180.0,0.9999999999833334,1,0.7106624818901871,2
299,219,3,180.0,0.9999999999833334,1,0.7106624818901871,2
207,132,3,405.0,0.9999999999925927,1,0.7070465066554779,2
413,323,2,120.0,0.9999999999833334,1,0.691302175046123,3
436,347,5,500.0,0.99999999999,1,0.6697518248503559,0
344,265,3,360.0,0.9999999999916667,1,0.6571994978922643,2
324,241,4,440.0,0.999999999990909,1,0.6567646333647226,0
298,218,4,149.8,1.110814419195973,1,0.6538822086400361,2
350,269,3,240.0,0.9999999999875,1,0.6535525316346807,2
316,233,2,258.0,0.9999999999922481,1,0.6511922131636422,1
343,262,2,130.0,0.9999999999846153,1,0.6510404606032698,1
59,6,2,130.0,0.9999999999846153,0,0.6510404606032698,1
458,503,2,130.0,0.9999999999846153,1,0.6510404606032698,3
257,171,2,130.0,0.9999999999846153,1,0.6510404606032698,1
183,111,2,130.0,0.9999999999846153,1,0.6510404606032698,1
61,6,3,372.0,0.9999999999919355,0,0.6489502145168501,2
327,242,4,460.0,0.9999999999913043,1,0.6475724506668158,0
329,247,3,450.0,0.9999999999933334,1,0.6428399827125674,2
445,374,2,120.0,0.9999999999833334,1,0.6412009307032267,3
424,326,3,327.0,0.9999999999908257,1,0.6307445858174456,2
264,179,3,342.0,0.999999999991228,1,0.6265899630745883,2
88,16,3,279.0,0.9999999999892473,0,0.6146504891627038,2
254,169,3,279.0,0.9999999999892473,1,0.6146504891627038,2
198,126,4,460.0,0.9999999999913043,1,0.6058795016133863,0
409,323,3,319.5,0.9999999999906103,1,0.5987117234272891,2
406,323,3,345.0,0.9999999999913043,1,0.5974736323185115,2
154,74,3,270.0,0.9999999999888889,0,0.594710983158046,2
161,81,5,570.0,1.02339181285652,0,0.5874531143591983,0
236,149,4,344.0,0.9999999999883721,1,0.5842235655857371,0
55,5,3,225.0,0.9999999999866667,0,0.583623394049956,2
110,28,3,345.0,0.9999999999913043,0,0.5823818424970143,2
325,241,3,345.0,0.9999999999913043,1,0.5823818424970143,2
300,221,3,345.0,0.9999999999913043,1,0.5823818424970143,2
247,153,3,345.0,0.9999999999913043,1,0.5823818424970143,2
374,306,4,520.0,0.9999999999923078,1,0.5769588420964328,0
122,40,4,360.0,0.9999999999888889,0,0.5575509344231616,0
120,38,3,300.0,0.99999999999,0,0.5429107407167741,2
330,251,3,300.0,0.99999999999,1,0.5429107407167741,2
226,142,4,400.0,0.99999999999,1,0.5371914592231342,0
278,200,2,200.0,0.99999999999,1,0.5324392011222924,1
336,255,2,200.0,0.99999999999,1,0.5324392011222924,1
290,209,2,200.0,0.99999999999,1,0.5324392011222924,1
78,9,2,200.0,0.99999999999,0,0.5324392011222924,1
277,197,4,400.0,0.99999999999,1,0.5304939991815824,0
123,42,3,372.0,0.9999999999919355,0,0.5210271550759127,2
189,121,3,372.0,0.9999999999919355,1,0.5210271550759127,2
231,146,2,300.0,0.9999999999933334,1,0.5174868737888558,1
82,9,2,300.0,0.9999999999933334,0,0.5174868737888558,1
427,330,3,315.0,0.9999999999904762,1,0.5162947836585622,2
363,290,4,420.0,0.9999999999904762,1,0.5151676233823457,0
238,150,4,380.0,0.9999999999894736,1,0.5099318713801403,0
173,97,4,340.0,0.9999999999882353,1,0.5069521204868395,0
455,483,2,360.0,0.9999999999944446,1,0.500048860245652,3
76,9,3,450.0,0.9999999999933334,0,0.5000374714949427,2
134,55,3,318.0,0.999999999990566,0,0.48828011005821975,2
50,4,4,612.0,0.9999999999934641,0,0.48417460915723126,0
371,306,2,180.0,0.9999999999888889,1,0.47914759372357807,1
132,52,4,460.0,0.9999999999913043,0,0.47687795088667884,0
271,186,3,285.0,0.9999999999894736,1,0.46477739522275135,2
158,76,3,285.0,0.9999999999894736,0,0.46477739522275135,2
338,256,3,285.0,0.9999999999894736,1,0.46477739522275135,2
142,63,6,660.0,0.999999999990909,0,0.45105325688538334,0
83,10,4,492.0,0.9999999999918698,0,0.4430379421997755,0
342,261,4,364.0,0.9999999999890109,1,0.43969018386979786,0
96,21,4,359.6,0.9999999999888767,0,0.4315118892961544,0
102,22,4,399.6,0.9999999999899901,0,0.4218976612899404,0
172,96,4,399.6,0.9999999999899901,1,0.4218976612899404,0
152,74,4,400.0,0.99999999999,0,0.41231274368893744,0
192,123,4,400.0,0.99999999999,1,0.3813151553082142,0
164,82,4,419.6,0.9999999999904672,0,0.3642222075959878,0
93,19,3,270.0,0.9999999999888889,0,0.3588081920912935,2
175,100,3,270.0,0.9999999999888889,1,0.3588081920912935,2
64,7,2,240.0,0.9999999999916667,0,0.35842525730187286,1
90,16,3,318.0,0.999999999990566,0,0.3583725693955248,2
165,85,3,330.0,0.999999999990909,0,0.3551182697573634,2
433,342,4,420.0,0.9999999999904762,1,0.35501160407523663,0
159,78,4,420.0,0.9999999999904762,0,0.35501160407523663,0
258,172,2,200.0,0.99999999999,1,0.3384617414870516,1
48,0,2,200.0,0.99999999999,0,0.3384617414870516,1
422,325,2,200.0,0.99999999999,1,0.3384617414870516,1
127,46,2,200.0,0.99999999999,0,0.3384617414870516,1
321,238,2,200.0,0.99999999999,1,0.3384617414870516,1
53,4,2,200.0,0.99999999999,0,0.3384617414870516,1
148,69,2,200.0,0.99999999999,0,0.3384617414870516,1
129,49,4,400.0,0.99999999999,0,0.3344669633016526,0
334,254,4,340.0,0.9999999999882353,1,0.33020046259495184,0
57,5,2,368.0,0.9999999999945652,0,0.3124432816830145,1
97,21,5,553.0,1.0337552742522567,0,0.31079732840622387,2
151,72,3,330.0,0.999999999990909,0,0.30942348695666133,2
98,22,4,435.6,0.9999999999908173,0,0.30791750459889417,0
111,28,2,238.0,0.9999999999915966,0,0.3066313433408695,1
100,22,2,238.0,0.9999999999915966,0,0.3066313433408695,1
118,32,2,238.0,0.9999999999915966,0,0.3066313433408695,1
147,66,2,238.0,0.9999999999915966,0,0.3066313433408695,1
144,64,2,238.0,0.9999999999915966,0,0.3066313433408695,1
179,101,2,238.0,0.9999999999915966,1,0.3066313433408695,1
181,105,2,238.0,0.9999999999915966,1,0.3066313433408695,1
200,126,2,238.0,0.9999999999915966,1,0.3066313433408695,1
199,126,2,238.0,0.9999999999915966,1,0.3066313433408695,1
197,125,2,238.0,0.9999999999915966,1,0.3066313433408695,1
113,29,2,238.0,0.9999999999915966,0,0.3066313433408695,1
205,130,3,255.0,0.9999999999882353,1,0.28970048680078403,2
109,25,3,255.0,0.9999999999882353,0,0.28970048680078403,2
33,18,3,300.0,0.99999999999,0,0.2827766796275359,1
84,11,6,479.40000000000003,0.9999999999874843,0,0.27920656201276145,0
