product,category,avg_price,nb_concurrents,confidence_score,product_score,feat_cat_popularity,feat_concurrent_coverage,niveau_recommandation,cat_score
q-handmade ceramic oil bottle from tunisia,handcrafted ceramics,15.6,1,0.99,0.8308090006335637,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-handmade ceramic oval plate green,handcrafted ceramics,15.6,1,0.99,0.8308090006335637,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-ceramic olive oil dispenser from tunisia,handcrafted ceramics,15.6,1,0.99,0.8308090006335637,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-handmade ceramic cup & saucer,handcrafted ceramics,15.6,1,0.99,0.8308090006335637,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-handmade orange ceramic serving platters,handcrafted ceramics,15.6,1,0.99,0.8308090006335637,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-handcrafted ceramic wall tiles,handcrafted ceramics,15.6,1,0.99,0.8308090006335637,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-ceramic dinner plate,handcrafted ceramics,16.224,1,0.985,0.83044576818485,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-plat apéritif rond – makroudh rouge,handcrafted ceramics,42.12,1,0.955,0.8303742155870801,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-black & white rectangular ceramic dish,handcrafted ceramics,26.302,1,0.91,0.8301953686209945,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-bowl - makroudh rouge,handcrafted ceramics,23.4,1,0.935,0.8301527675269018,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-natural handmade ceramic tajine,handcrafted ceramics,39.0,1,0.93,0.8301061674472756,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
