product,category,avg_price,nb_concurrents,nb_occurrences,cat_total_products,cat_avg_price,cat_nb_concurrents,feat_cat_popularity,feat_price_distance,feat_occurrence_score,feat_concurrent_coverage,predicted_category,confidence_score,correct_prediction,cat_score,feat_price_attractiveness,product_score,niveau_recommandation
a-collier anneaux sousse,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7384312029512957,0.938635245939061,Priorite haute
a-parure bois,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7384312029512957,0.938635245939061,Priorite haute
a-collier berbère,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7384312029512957,0.938635245939061,Priorite haute
a-bracelet bois marbre,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7384312029512957,0.938635245939061,Priorite haute
a-ras du cou,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7384312029512957,0.938635245939061,Priorite haute
a-pendentif wiring,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7384312029512957,0.938635245939061,Priorite haute
a-bracelet prénom,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7384312029512957,0.938635245939061,Priorite haute
a-broche 5 jeudis,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7384312029512957,0.938635245939061,Priorite haute
a-porte-clé,bijoux,120.0,1,1,488,92.91122950819673,1,1.0,0.2915553947960411,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.774260247782804,0.9379266981806365,Priorite haute
a-broche oeil,bijoux,120.0,1,1,488,92.91122950819673,1,1.0,0.2915553947960411,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.774260247782804,0.9379266981806365,Priorite haute
a-bracelet manchette,bijoux,85.0,1,1,488,92.91122950819673,1,1.0,0.08514825888027379,1.0,1.0,bijoux,0.96,True,0.8390456193049876,0.9215330640919653,0.9377903389960945,Priorite haute
a-pendentif filigrané,bijoux,85.0,1,1,488,92.91122950819673,1,1.0,0.08514825888027379,1.0,1.0,bijoux,0.96,True,0.8390456193049876,0.9215330640919653,0.9377903389960945,Priorite haute
a-collier anneaux perles,bijoux,130.0,1,1,488,92.91122950819673,1,1.0,0.3991850101321311,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7147017676422689,0.9374487741736097,Priorite haute
a-collier filigrane,bijoux,130.0,1,1,488,92.91122950819673,1,1.0,0.3991850101321311,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7147017676422689,0.9374487741736097,Priorite haute
a-collier brodé,bijoux,130.0,1,1,488,92.91122950819673,1,1.0,0.3991850101321311,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7147017676422689,0.9374487741736097,Priorite haute
a-bracelet tressé,bijoux,55.0,1,1,488,92.91122950819673,1,1.0,0.40803710488854367,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7102085566695043,0.9372241136249715,Priorite haute
a-collier étoiles lune,bijoux,55.0,1,1,488,92.91122950819673,1,1.0,0.40803710488854367,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7102085566695043,0.9372241136249715,Priorite haute
a-collier oeil,bijoux,55.0,1,1,488,92.91122950819673,1,1.0,0.40803710488854367,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7102085566695043,0.9372241136249715,Priorite haute
a-collier khomsa fashion,bijoux,55.0,1,1,488,92.91122950819673,1,1.0,0.40803710488854367,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7102085566695043,0.9372241136249715,Priorite haute
a-collier triangle,bijoux,55.0,1,1,488,92.91122950819673,1,1.0,0.40803710488854367,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7102085566695043,0.9372241136249715,Priorite haute
a-collier ras du cou rouge,bijoux,55.0,1,1,488,92.91122950819673,1,1.0,0.40803710488854367,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7102085566695043,0.9372241136249715,Priorite haute
a-sautoir argent trempé or,bijoux,125.0,1,1,488,92.91122950819673,1,1.0,0.34537020246408606,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.7432898381192551,0.936378177697459,Priorite haute
