productPK,product,productCode,categoryFK,startDate,endDate,flag
192,Photophore Sidi Bousaid T2,Ph-T2,525,2026-04-21 19:46:07.905,,y
193,Photophore Sidi Bousaid T3,Ph-T3,525,2026-04-21 19:46:07.905,,y
194,Photophore Sidi Bousaid T4,Ph-T4,525,2026-04-21 19:46:07.905,,y
195,Trio Bougies Sidi Bousaid,TB-01,525,2026-04-21 19:46:07.905,,y
196,Thermos à paille,TP-001,525,2026-04-21 19:46:07.905,,y
197,Personnalisation,Pers-1,525,2026-04-21 19:46:07.905,,y
198,Tote Bag personnalisé,TOT-001,525,2026-04-21 19:46:07.905,,y
199,Bonbonniére en verre craquelé + Cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
200,Bonbonnière Verre + Cuivre 1,BON-001,525,2026-04-21 19:46:07.905,,y
201,Bonbonnière Verre + Cuivre 2,BON-002,525,2026-04-21 19:46:07.905,,y
202,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
203,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
204,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
205,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
206,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
207,Bonbonnière en verre,BV-001,525,2026-04-21 19:46:07.905,,y
208,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
209,Bonbonnière en verre,BV-001,525,2026-04-21 19:46:07.905,,y
210,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
211,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
212,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
213,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
214,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
215,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
216,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
217,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
218,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
219,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
220,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
221,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
222,Bonbonnière en verre,BV-001,525,2026-04-21 19:46:07.905,,y
223,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
224,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
225,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
226,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
227,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
228,Bonbonnière en verre,BV-001,525,2026-04-21 19:46:07.906,,y
229,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
230,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
231,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
232,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
