FactVentePK,dateFK,documentFK,channelFK,customerFK,productFK,price,quantity,remise,total_ht,tva,timbre,total_ttc,startDate,endDate,flag
150,20251111,588,4,132,6577,30,1,0,0,0,0,115,2026-03-24 22:55:56.668,,y
151,20251111,588,4,132,6584,25,2,0,0,0,0,115,2026-03-24 22:55:56.671,,y
152,20251111,588,4,132,6618,30,3,0,0,0,0,115,2026-03-24 22:55:56.671,,y
153,20251110,589,4,133,6608,20,1,0,0,0,0,100,2026-03-24 22:55:56.671,,y
154,20251108,590,4,134,6606,56,1,0,0,0,0,106,2026-03-24 22:55:56.671,,y
155,20251108,590,4,134,6605,50,2,0,0,0,0,106,2026-03-24 22:55:56.671,,y
156,20251106,591,4,135,6590,49.9,1,0,0,0,0,99.9,2026-03-24 22:55:56.671,,y
157,20251106,591,4,135,6605,50,2,0,0,0,0,99.9,2026-03-24 22:55:56.671,,y
158,20251106,592,4,136,6575,50,1,0,0,0,0,105,2026-03-24 22:55:56.671,,y
159,20251106,592,4,136,6582,25,2,0,0,0,0,105,2026-03-24 22:55:56.671,,y
160,20251106,592,4,136,6577,30,3,0,0,0,0,105,2026-03-24 22:55:56.671,,y
161,20251104,593,4,137,6590,49.9,1,0,0,0,0,99.8,2026-03-24 22:55:56.671,,y
162,20251104,593,4,137,6619,49.9,2,0,0,0,0,99.8,2026-03-24 22:55:56.671,,y
163,20251104,594,4,138,6578,90,1,0,0,0,0,90,2026-03-24 22:55:56.671,,y
164,20251102,595,4,139,6539,58,1,0,0,0,0,58,2026-03-24 22:55:56.671,,y
165,20251031,596,4,140,6610,80,1,0,0,0,0,105,2026-03-24 22:55:56.671,,y
166,20251031,596,4,140,6584,25,2,0,0,0,0,105,2026-03-24 22:55:56.671,,y
167,20251031,597,4,141,6595,90,1,0,0,0,0,90,2026-03-24 22:55:56.671,,y
168,20251031,598,4,142,6620,20,1,0,0,0,0,110,2026-03-24 22:55:56.671,,y
169,20251031,598,4,142,6589,20,2,0,0,0,0,110,2026-03-24 22:55:56.671,,y
170,20251031,598,4,142,6601,20,3,0,0,0,0,110,2026-03-24 22:55:56.674,,y
171,20251031,598,4,142,6584,25,4,0,0,0,0,110,2026-03-24 22:55:56.674,,y
172,20251031,598,4,142,6580,25,5,0,0,0,0,110,2026-03-24 22:55:56.674,,y
173,20251030,599,4,143,6621,90,1,0,0,0,0,90,2026-03-24 22:55:56.674,,y
174,20251030,600,4,144,6609,119,1,0,0,0,0,119,2026-03-24 22:55:56.674,,y
175,20251029,601,4,145,6610,80,1,0,0,0,0,80,2026-03-24 22:55:56.674,,y
176,20251028,602,4,146,6601,20,1,0,0,0,0,99,2026-03-24 22:55:56.674,,y
177,20251028,602,4,146,6602,20,2,0,0,0,0,99,2026-03-24 22:55:56.674,,y
178,20251028,602,4,146,6584,25,3,0,0,0,0,99,2026-03-24 22:55:56.674,,y
179,20251028,602,4,146,6588,34,4,0,0,0,0,99,2026-03-24 22:55:56.674,,y
180,20251028,603,4,147,6611,119,1,0,0,0,0,119,2026-03-24 22:55:56.674,,y
181,20251025,604,4,148,6575,50,1,0,0,0,0,100,2026-03-24 22:55:56.674,,y
182,20251023,605,4,149,6580,25,1,0,0,0,0,110,2026-03-24 22:55:56.674,,y
183,20251023,605,4,149,6584,25,2,0,0,0,0,110,2026-03-24 22:55:56.674,,y
184,20251023,605,4,149,6577,30,3,0,0,0,0,110,2026-03-24 22:55:56.674,,y
185,20251023,605,4,149,6618,30,4,0,0,0,0,110,2026-03-24 22:55:56.674,,y
186,20251022,606,4,150,6580,25,1,0,0,0,0,25,2026-03-24 22:55:56.674,,y
187,20251022,607,4,151,6622,60,1,0,0,0,0,110,2026-03-24 22:55:56.674,,y
188,20251022,607,4,151,6575,50,2,0,0,0,0,110,2026-03-24 22:55:56.674,,y
189,20251020,608,4,152,6584,25,1,0,0,0,0,100,2026-03-24 22:55:56.674,,y
190,20251020,608,4,152,6580,25,2,0,0,0,0,100,2026-03-24 22:55:56.674,,y
191,20251020,608,4,152,6581,25,3,0,0,0,0,100,2026-03-24 22:55:56.674,,y
192,20251020,609,4,153,6619,49.9,1,0,0,0,0,99.9,2026-03-24 22:55:56.674,,y
193,20251020,609,4,153,6575,50,2,0,0,0,0,99.9,2026-03-24 22:55:56.674,,y
194,20251020,610,4,154,6600,20,1,0,0,0,0,90,2026-03-24 22:55:56.681,,y
195,20251020,610,4,154,6623,25,2,0,0,0,0,90,2026-03-24 22:55:56.681,,y
196,20251020,611,4,155,6595,90,1,0,0,0,0,90,2026-03-24 22:55:56.681,,y
197,20251020,612,4,156,6577,30,1,0,0,0,0,105,2026-03-24 22:55:56.681,,y
198,20251020,612,4,156,6580,25,2,0,0,0,0,105,2026-03-24 22:55:56.681,,y
199,20251020,612,4,156,6624,30,3,0,0,0,0,105,2026-03-24 22:55:56.681,,y
200,20251020,612,4,156,6608,20,4,0,0,0,0,105,2026-03-24 22:55:56.681,,y
201,20251020,613,4,157,6578,90,1,0,0,0,0,90,2026-03-24 22:55:56.681,,y
202,20251018,614,4,158,6580,25,1,0,0,0,0,95,2026-03-24 22:55:56.681,,y
203,20251018,614,4,158,6604,45,2,0,0,0,0,95,2026-03-24 22:55:56.681,,y
204,20251016,615,4,159,6580,25,1,0,0,0,0,105,2026-03-24 22:55:56.681,,y
205,20251016,615,4,159,6624,30,2,0,0,0,0,105,2026-03-24 22:55:56.681,,y
206,20251016,615,4,159,6584,25,3,0,0,0,0,105,2026-03-24 22:55:56.681,,y
207,20251014,616,4,160,6608,20,1,0,0,0,0,80,2026-03-24 22:55:56.681,,y
208,20251013,617,4,161,6577,30,1,0,0,0,0,110,2026-03-24 22:55:56.681,,y
209,20251013,617,4,161,6575,50,2,0,0,0,0,110,2026-03-24 22:55:56.681,,y
210,20231230,618,4,162,6587,30,1,0,0,0,0,30,2026-03-24 22:55:56.681,,y
211,20251013,619,4,163,6584,25,1,0,0,0,0,100,2026-03-24 22:55:56.684,,y
212,20251013,619,4,163,6581,25,2,0,0,0,0,100,2026-03-24 22:55:56.684,,y
213,20251013,619,4,163,6582,25,3,0,0,0,0,100,2026-03-24 22:55:56.684,,y
214,20251013,619,4,163,6580,25,4,0,0,0,0,100,2026-03-24 22:55:56.684,,y
215,20251013,620,4,161,6625,120,1,0,0,0,0,120,2026-03-24 22:55:56.684,,y
216,20251012,621,4,164,6618,30,1,0,0,0,0,104.9,2026-03-24 22:55:56.684,,y
217,20251012,621,4,164,6619,49.9,2,0,0,0,0,104.9,2026-03-24 22:55:56.684,,y
218,20251012,621,4,164,6582,25,3,0,0,0,0,104.9,2026-03-24 22:55:56.684,,y
219,20251009,622,4,165,6595,90,1,0,0,0,0,110,2026-03-24 22:55:56.684,,y
220,20251009,622,4,165,6626,20,2,0,0,0,0,110,2026-03-24 22:55:56.684,,y
221,20251007,623,4,166,6578,90,1,0,0,0,0,90,2026-03-24 22:55:56.684,,y
222,20251003,624,4,167,6586,48,1,0,0,0,0,48,2026-03-24 22:55:56.684,,y
223,20251003,625,4,168,6602,20,1,0,0,0,0,100,2026-03-24 22:55:56.684,,y
224,20251003,625,4,168,6610,80,2,0,0,0,0,100,2026-03-24 22:55:56.684,,y
225,20250930,626,4,169,6626,20,1,0,0,0,0,100,2026-03-24 22:55:56.684,,y
226,20250930,626,4,169,6620,20,2,0,0,0,0,100,2026-03-24 22:55:56.684,,y
227,20250930,626,4,169,6608,20,3,0,0,0,0,100,2026-03-24 22:55:56.684,,y
228,20250930,626,4,169,6589,20,4,0,0,0,0,100,2026-03-24 22:55:56.684,,y
229,20250930,626,4,169,6602,20,5,0,0,0,0,100,2026-03-24 22:55:56.684,,y
230,20250930,627,4,170,6595,90,1,0,0,0,0,90,2026-03-24 22:55:56.684,,y
231,20250930,628,4,171,6605,50,1,0,0,0,0,80,2026-03-24 22:55:56.684,,y
232,20250930,628,4,171,6613,30,2,0,0,0,0,80,2026-03-24 22:55:56.684,,y
233,20250928,629,4,172,6581,25,1,0,0,0,0,99.9,2026-03-24 22:55:56.684,,y
234,20250928,629,4,172,6580,25,2,0,0,0,0,99.9,2026-03-24 22:55:56.684,,y
235,20250928,629,4,172,6619,49.9,3,0,0,0,0,99.9,2026-03-24 22:55:56.684,,y
236,20250927,630,4,173,6577,30,1,0,0,0,0,85,2026-03-24 22:55:56.684,,y
237,20250927,630,4,173,6584,25,2,0,0,0,0,85,2026-03-24 22:55:56.684,,y
238,20250927,630,4,173,6599,30,3,0,0,0,0,85,2026-03-24 22:55:56.684,,y
239,20250925,631,4,174,6594,30,1,0,0,0,0,30,2026-03-24 22:55:56.684,,y
240,20250924,632,4,175,6577,30,1,0,0,0,0,90,2026-03-24 22:55:56.684,,y
241,20250924,632,4,175,6624,30,2,0,0,0,0,90,2026-03-24 22:55:56.684,,y
242,20250924,633,4,176,6616,46,1,0,0,0,0,96,2026-03-24 22:55:56.684,,y
243,20250924,633,4,176,6583,50,2,0,0,0,0,96,2026-03-24 22:55:56.684,,y
244,20250924,634,4,177,6578,90,1,0,0,0,0,90,2026-03-24 22:55:56.684,,y
245,20250923,635,4,178,6627,31,1,0,0,0,0,185,2026-03-24 22:55:56.684,,y
246,20250923,635,4,178,6628,31,2,0,0,0,0,185,2026-03-24 22:55:56.684,,y
247,20250923,635,4,178,6629,36,3,0,0,0,0,185,2026-03-24 22:55:56.684,,y
248,20250923,636,4,179,6609,119,1,0,0,0,0,119,2026-03-24 22:55:56.684,,y
249,20250922,637,4,180,6595,90,1,0,0,0,0,90,2026-03-24 22:55:56.684,,y
250,20250919,638,4,181,6609,119,1,0,0,0,0,119,2026-03-24 22:55:56.684,,y
251,20250917,639,4,182,6588,34,1,0,0,0,0,94,2026-03-24 22:55:56.684,,y
252,20250917,639,4,182,6587,30,2,0,0,0,0,94,2026-03-24 22:55:56.684,,y
253,20250917,639,4,182,6577,30,3,0,0,0,0,94,2026-03-24 22:55:56.684,,y
254,20250913,640,4,183,6538,65,1,0,0,0,0,65,2026-03-24 22:55:56.684,,y
255,20250910,641,4,184,6595,90,1,0,0,0,0,90,2026-03-24 22:55:56.684,,y
256,20250909,642,4,185,6620,20,1,0,0,0,0,20,2026-03-24 22:55:56.684,,y
257,20250907,643,4,186,6575,50,1,0,0,0,0,100,2026-03-24 22:55:56.684,,y
258,20250905,644,4,187,6601,20,1,0,0,0,0,65,2026-03-24 22:55:56.684,,y
259,20250905,644,4,187,6614,25,2,0,0,0,0,65,2026-03-24 22:55:56.684,,y
260,20250904,645,4,188,6587,30,1,0,0,0,0,88,2026-03-24 22:55:56.684,,y
261,20250904,645,4,188,6539,58,2,0,0,0,0,88,2026-03-24 22:55:56.684,,y
262,20250903,646,4,189,6588,34,1,0,0,0,0,124,2026-03-24 22:55:56.684,,y
263,20250903,646,4,189,6578,90,2,0,0,0,0,124,2026-03-24 22:55:56.684,,y
264,20250903,647,4,190,6616,46,1,0,0,0,0,94,2026-03-24 22:55:56.684,,y
265,20250903,647,4,190,6540,48,2,0,0,0,0,94,2026-03-24 22:55:56.684,,y
266,20250901,648,4,191,6625,120,1,0,0,0,0,120,2026-03-24 22:55:56.684,,y
267,20250901,649,4,192,6582,25,1,0,0,0,0,100,2026-03-24 22:55:56.684,,y
268,20250901,649,4,192,6581,25,2,0,0,0,0,100,2026-03-24 22:55:56.684,,y
269,20250901,649,4,192,6630,50,3,0,0,0,0,100,2026-03-24 22:55:56.684,,y
270,20250901,650,4,193,6577,30,1,0,0,0,0,100,2026-03-24 22:55:56.684,,y
271,20250901,650,4,193,6580,25,2,0,0,0,0,100,2026-03-24 22:55:56.684,,y
272,20250901,650,4,193,6584,25,3,0,0,0,0,100,2026-03-24 22:55:56.684,,y
273,20250901,650,4,193,6631,20,4,0,0,0,0,100,2026-03-24 22:55:56.684,,y
274,20250831,651,4,194,6632,84,1,0,0,0,0,84,2026-03-24 22:55:56.684,,y
275,20250831,652,4,195,6626,20,1,0,0,0,0,40,2026-03-24 22:55:56.684,,y
276,20250831,653,4,196,6633,100,1,0,0,0,0,100,2026-03-24 22:55:56.684,,y
277,20250830,654,4,197,6634,119,1,0,0,0,0,119,2026-03-24 22:55:56.684,,y
278,20250829,655,4,198,6577,30,1,0,0,0,0,115,2026-03-24 22:55:56.684,,y
279,20250829,655,4,198,6615,35,2,0,0,0,0,115,2026-03-24 22:55:56.684,,y
280,20250829,655,4,198,6580,25,3,0,0,0,0,115,2026-03-24 22:55:56.684,,y
281,20250829,656,4,199,6634,119,1,0,0,0,0,119,2026-03-24 22:55:56.684,,y
282,20250829,657,4,200,6634,119,1,0,0,0,0,119,2026-03-24 22:55:56.684,,y
283,20250826,658,4,201,6588,34,1,0,0,0,0,94,2026-03-24 22:55:56.684,,y
284,20250826,658,4,201,6594,30,2,0,0,0,0,94,2026-03-24 22:55:56.684,,y
285,20250826,658,4,201,6618,30,3,0,0,0,0,94,2026-03-24 22:55:56.684,,y
286,20250826,659,4,202,6635,109,1,0,0,0,0,109,2026-03-24 22:55:56.684,,y
287,20250826,660,4,203,6586,48,1,0,0,0,0,96,2026-03-24 22:55:56.684,,y
