supplierFK,productFK,documentFK,dateFK,quantity,price,remise,total_ht,tva,timbre
9,6307,0,20230924,0,0,0,616,0,0
9,6307,0,20231011,0,0,0,"663,444",0,0
10,6307,0,20231121,0,0,0,"1081,75",0,0
9,6307,0,20231121,0,0,0,"462,216",0,0
11,6307,0,20231206,0,0,0,"934,58",0,0
12,6307,1429,20231206,0,0,0,"420,551",0,0
13,6307,0,20231215,0,0,0,762,0,0
14,6307,0,20231218,0,0,0,"1690,2",0,0
15,6307,0,20231221,0,0,0,1900,0,0
16,6307,0,20231221,0,0,0,1425,0,0
10,6307,0,20231221,0,0,0,3640,0,0
17,6307,0,20231225,0,0,0,1800,0,0
9,6307,0,20231228,0,0,0,"504,462",0,0
18,6307,0,20240124,0,0,0,950,0,0
12,6307,1429,20240116,0,0,0,"3932,2499",0,0
11,6307,0,20240116,0,0,0,"8411,21495",0,0
19,6307,0,20240711,0,0,0,1797,0,0
20,6307,0,20240717,0,0,0,"375,2",0,0
21,6307,0,20240715,0,0,0,"210,25",0,0
22,6307,0,20240720,0,0,0,"1500,476",0,0
23,6307,0,20240101,0,0,0,"64,286",0,0
23,6307,0,20240201,0,0,0,"64,286",0,0
23,6307,0,20240301,0,0,0,"64,286",0,0
23,6307,0,20240401,0,0,0,"64,286",0,0
23,6307,0,20240501,0,0,0,"64,286",0,0
23,6307,0,20240601,0,0,0,"64,286",0,0
23,6307,0,20240701,0,0,0,"64,286",0,0
23,6307,0,20240801,0,0,0,"64,286",0,0
24,6307,0,20240728,0,0,0,365,0,0
25,6307,0,20240619,0,0,0,"1116,9",0,0
26,6307,0,20240527,0,0,0,600,0,0
16,6307,0,20240301,0,0,0,"21028,03",0,0
23,6307,0,20240901,0,0,0,"64,286",0,0
23,6307,0,20241001,0,0,0,"64,286",0,0
27,6307,1392,20241121,0,0,0,625,0,0
28,6307,1426,20241121,0,0,0,"65,4",0,0
29,6307,0,20241108,0,0,0,1250,0,0
28,6307,1427,20241114,0,0,0,9000,0,0
30,6307,0,20241209,0,0,0,"207,5",0,0
30,6307,0,20241205,0,0,0,1335,0,0
31,6307,0,20241205,0,0,0,16095,0,0
32,6307,0,20250106,0,0,0,1800,0,0
33,6307,0,20241206,0,0,0,440,0,0
34,6307,0,20241206,0,0,0,230,0,0
35,6307,0,20241225,0,0,0,420,0,0
36,6307,0,20241231,0,0,0,550,0,0
37,6307,0,20240301,0,0,0,250,0,0
4,6307,0,20240308,0,0,0,900,0,0
82,6307,0,20241225,0,0,0,818,0,0
15,6307,0,20250106,0,0,0,830,0,0
36,6307,0,20241222,0,0,0,90,0,0
20,6307,0,20241231,0,0,0,90,0,0
15,6307,0,20241115,0,0,0,125,0,0
39,6307,0,20241101,0,0,0,140,0,0
39,6307,0,20241001,0,0,0,75,0,0
40,6307,0,20241101,0,0,0,30,0,0
41,6307,0,20241001,0,0,0,200,0,0
42,6307,0,20241231,0,0,0,200,0,0
43,6307,0,20241231,0,0,0,250,0,0
44,6307,0,20241231,0,0,0,20,0,0
7,6307,0,20241202,0,0,0,500,0,0
46,6307,0,20241231,0,0,0,300,0,0
14,6307,0,20241231,0,0,0,2626,0,0
47,6307,0,20240326,0,0,0,350,0,0
31,6307,0,20240501,0,0,0,500,0,0
27,6307,0,20240401,0,0,0,"656,6",0,0
17,6307,0,20240501,0,0,0,330,0,0
27,6307,0,20240701,0,0,0,480,0,0
48,6307,0,20240610,0,0,0,380,0,0
49,6307,0,20240301,0,0,0,120,0,0
50,6307,0,20240201,0,0,0,140,0,0
51,6307,0,20240301,0,0,0,70,0,0
52,6307,0,20240325,0,0,0,75,0,0
53,6307,0,20240301,0,0,0,75,0,0
28,6307,0,20240401,0,0,0,189,0,0
54,6307,0,20241223,0,0,0,100,0,0
55,6307,1420,-1,0,0,0,510,0,0
