Fact_financePK,DateFK,CustomerFK,SupplierFk,DocumentFK,Total_HT,Total_TTC
273,20250826,0,120,1422,565,565
274,20250826,0,120,1422,565,565
275,20250826,0,120,1422,565,565
276,20250826,0,120,1422,565,565
277,20250826,0,120,1422,565,565
278,20250826,0,120,1422,565,565
279,20251027,0,120,1424,190,190
280,20251027,0,120,1424,190,190
281,20251027,0,120,1424,190,190
282,20251027,0,120,1424,190,190
283,20251118,0,0,1425,675,1607.5
284,20251118,0,0,1425,675,1607.5
285,20241121,0,0,1426,18.9,78.826
286,20241121,0,0,1426,11.8,78.826
287,20241121,0,0,1426,17.8,78.826
288,20241121,0,0,1426,16.9,78.826
289,20241114,0,28,1427,9000,10711
290,20241223,0,0,1428,189,225.91
291,0,0,121,72,58025,20715.926
292,0,0,121,72,58025,20715.926
293,0,0,121,73,58025,13810.95
294,0,0,121,73,58025,13810.95
295,0,0,121,74,58025,34525.875
296,0,0,121,74,58025,34525.875
297,0,0,121,75,2194.5,2612.455
298,0,0,121,76,7475,3738.5
299,0,0,121,76,7475,3738.5
300,0,0,121,76,7475,3738.5
301,0,0,121,76,7475,3738.5
302,0,0,121,77,300,301
303,0,0,121,78,7475,3738.5
304,0,0,121,78,7475,3738.5
305,0,0,121,78,7475,3738.5
306,0,0,121,78,7475,3738.5
307,0,0,121,79,224.34,267.965
308,0,0,121,79,224.34,267.965
309,0,0,121,79,224.34,267.965
310,0,0,121,79,224.34,267.965
311,0,0,121,80,50000,59501
312,0,0,121,81,1785,2125.15
313,0,0,121,82,1720,2047.8
314,0,0,121,82,1720,2047.8
315,0,0,121,83,560,667.4
316,0,0,121,83,560,667.4
317,0,0,121,83,560,667.4
318,0,0,121,83,560,667.4
319,0,0,121,84,584,695.96
320,0,0,121,84,584,695.96
321,0,0,121,84,584,695.96
322,0,0,121,84,584,695.96
323,0,0,121,85,544,648.36
324,0,0,121,85,544,648.36
325,0,0,121,85,544,648.36
326,0,0,121,85,544,648.36
327,0,0,121,86,352,419.88
328,0,0,121,86,352,419.88
329,0,0,121,87,416,496.04
330,0,0,121,87,416,496.04
331,0,0,121,87,416,496.04
332,0,0,121,88,527,628.13
333,0,0,121,88,527,628.13
334,0,0,121,88,527,628.13
335,0,0,121,88,527,628.13
336,0,0,121,88,527,628.13
