"FactShippingPK","dateFK","productFK","customerFK","documentFK","quantity","productPrice","total","deliveryPrice","startDate","endDate","flag"
1110,20250330,6575,356,1206,"1","50","308","0","2026-03-24 20:20:42.341",NULL,"y"
1111,20250330,6636,356,1206,"2","129","308","0","2026-03-24 20:20:42.341",NULL,"y"
1112,20250330,6697,356,1206,"3","129","308","0","2026-03-24 20:20:42.341",NULL,"y"
1113,20250330,6651,357,1207,"1","25","100","8","2026-03-24 20:20:42.341",NULL,"y"
1114,20250330,6630,357,1207,"2","50","100","8","2026-03-24 20:20:42.341",NULL,"y"
1115,20250330,6605,358,1208,"1","50","50","8","2026-03-24 20:20:42.341",NULL,"y"
1116,20250327,6668,359,1209,"1","86","101","8","2026-03-24 20:20:42.341",NULL,"y"
1117,20250327,6688,359,1209,"2","15","101","8","2026-03-24 20:20:42.343",NULL,"y"
1118,20250327,6698,360,1210,"1","16,5","1505","0","2026-03-24 20:20:42.343",NULL,"y"
1119,20250327,6663,360,1210,"2","34","1505","0","2026-03-24 20:20:42.343",NULL,"y"
1120,20250327,6647,360,1210,"3","30","1505","0","2026-03-24 20:20:42.343",NULL,"y"
1121,20250327,6699,360,1210,"4","85","1505","0","2026-03-24 20:20:42.343",NULL,"y"
1122,20250327,6700,360,1210,"5","65","1505","0","2026-03-24 20:20:42.343",NULL,"y"
1123,20250327,6692,360,1210,"6","115","1505","0","2026-03-24 20:20:42.343",NULL,"y"
1124,20250327,6701,360,1210,"7","125","1505","0","2026-03-24 20:20:42.343",NULL,"y"
1125,20250320,6637,361,1211,"1","35","84,9","8","2026-03-24 20:20:42.343",NULL,"y"
1126,20250320,6619,361,1211,"2","49,9","84,9","8","2026-03-24 20:20:42.343",NULL,"y"
1127,20250318,6642,362,1212,"1","129","129","8","2026-03-24 20:20:42.343",NULL,"y"
1128,20250318,6651,363,1213,"1","25","105","8","2026-03-24 20:20:42.343",NULL,"y"
1129,20250318,6672,363,1213,"2","35","105","8","2026-03-24 20:20:42.343",NULL,"y"
1130,20250318,6638,363,1213,"3","45","105","8","2026-03-24 20:20:42.343",NULL,"y"
1131,20250317,6693,364,1214,"1","129","129","8","2026-03-24 20:20:42.343",NULL,"y"
1132,20250307,6697,365,1215,"1","129","129","8","2026-03-24 20:20:42.343",NULL,"y"
1133,20250307,6702,366,1216,"1","120","150","8","2026-03-24 20:20:42.343",NULL,"y"
1134,20250307,6688,366,1216,"2","15","150","8","2026-03-24 20:20:42.343",NULL,"y"
1135,20250307,6631,366,1216,"3","15","150","8","2026-03-24 20:20:42.343",NULL,"y"
1136,20250306,6636,367,1217,"1","129","258","0","2026-03-24 20:20:42.343",NULL,"y"
1137,20250306,6642,367,1217,"2","129","258","0","2026-03-24 20:20:42.343",NULL,"y"
1138,20250306,6642,368,1218,"1","129","258","0","2026-03-24 20:20:42.343",NULL,"y"
1139,20250306,6683,369,1219,"1","92","92","8","2026-03-24 20:20:42.343",NULL,"y"
1140,20250304,6697,370,1220,"1","129","129","8","2026-03-24 20:20:42.343",NULL,"y"
1141,20250302,6640,371,1221,"1","64","90","8","2026-03-24 20:20:42.343",NULL,"y"
1142,20250302,6703,372,1222,"1","86","172","0","2026-03-24 20:20:42.343",NULL,"y"
1143,20250302,6704,373,1223,"1","90","156","0","2026-03-24 20:20:42.343",NULL,"y"
1144,20250302,6698,373,1223,"2","16,5","156","0","2026-03-24 20:20:42.343",NULL,"y"
1145,20250302,6637,374,1224,"1","35","130","8","2026-03-24 20:20:42.343",NULL,"y"
